Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
Dokumentáció,MK-37,10154,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,Highest,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 3:02 AM,07/Nov/24 3:02 AM,25/Nov/24 6:21 PM,,24/Nov/24 12:00 AM,0,,,Dokumentáció létrehozása.,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,144000,144000,,0%,144000,144000,,,,,,,,,,,,,,,,,,,,0|i000ul:,,,17/Nov/24 12:00 AM,,,,,,,,,,,To Do,07/Nov/24 3:02 AM
Adatvédelmi nyilatkozat oldal,MK-36,10133,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Legal,,Adatvédelmi nyilatkozat oldal létrehozása az adatvédelmi szabályoknak megfelelően,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000ql:,,,,,,,,,,,,,,To Do,
404 hiba oldal,MK-35,10123,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,Low,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Frontend,,"404-es hibaoldal létrehozása, hogy barátságos üzenetet jelenítsen meg, ha az oldal nem található",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000od:,,,,,,,,,,,,,,To Do,
Sitemap generálása,MK-34,10146,Task,Final Approval,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,Medium,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,25/Nov/24 6:22 PM,,,0,SEO,,"Oldaltérkép generálása a weboldal URL-jeinek listázásához, keresőmotorok számára",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000ud:,,,,,,,,,,,,,,In Progress,07/Nov/24 2:45 AM
Oldal betöltési sebességének optimalizálása,MK-33,10122,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Optimization,,"Képek optimalizálása, kód minifikálása, cache beállítása a gyorsabb betöltésért",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000o5:,,,,,,,,,,,,,,To Do,
Jelszó visszaállítás,MK-32,10132,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Backend,,Jelszó visszaállítás funkció létrehozása email küldéssel,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000qd:,,,,,,,,,,,,,,To Do,
Felhasználói regisztráció,MK-31,10153,Task,In Progress,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,25/Nov/24 6:22 PM,,,0,Backend,Frontend,Felhasználói regisztrációs funkció és validáció kialakítása,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000qx:,,,,,,,,,,,,,,In Progress,07/Nov/24 2:45 AM
Felhasználói bejelentkezés,MK-30,10152,Story,In Progress,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,High,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,25/Nov/24 6:22 PM,,,0,Backend,Frontend,Alap felhasználói bejelentkezési funkció létrehozása a weboldalhoz,,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000qz:,,,,,,,,,,,,,,In Progress,07/Nov/24 2:45 AM
Projektek címkézése,MK-29,10131,Task,To Do,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,Low,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,25/Nov/24 6:22 PM,,,0,Frontend,,"Minden projekt címkézése (pl. 'Frontend', 'Backend', 'Design') a könnyebb kereshetőség érdekében",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000q5:,,,,,,,,,,,,,,To Do,
Portfólió projektek filterezése,MK-28,10151,Task,In Progress,MK,myWebsite-kanban,software,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,,Medium,,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,25/Nov/24 6:22 PM,,,0,Frontend,,"Filter opció hozzáadása a portfólió oldalhoz, kategóriák szerinti szűrés lehetőségével",,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,0|i000r0:,,,,,,,,,,,,,,In Progress,07/Nov/24 2:45 AM
